Channel,Unix Timestamp,CAN ID (Hex),EXT,DLC,B1,B2,B3,B4,B5,B6,B7,B8
CAN2,1503052795.020171,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.022183,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052795.030106,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.040074,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.040668,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052795.047142,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052795.050081,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.060070,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.070212,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.072224,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052795.080096,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.090158,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.097187,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052795.100093,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.110133,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.120161,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.122170,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052795.130066,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.140075,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.140669,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052795.147131,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052795.150081,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.160071,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.170142,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.172153,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052795.179957,18FD7C00,1,8,F8,83,05,00,D3,1F,03,FF
CAN2,1503052795.180549,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.190069,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.197109,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052795.199997,18FEF600,1,8,FF,73,FE,FF,FF,FF,FF,FF
CAN2,1503052795.200584,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.210122,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.220160,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.222169,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052795.230081,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.235110,18FEDF00,1,8,7D,A0,28,7D,7D,FF,FF,F0
CAN2,1503052795.240071,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.240666,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052795.247133,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
