Channel,Unix Timestamp,CAN ID (Hex),EXT,DLC,B1,B2,B3,B4,B5,B6,B7,B8
CAN2,1503052413.080859,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.090333,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.096416,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.100341,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.110251,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.110846,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052413.120266,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.121379,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.130294,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.140338,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.146344,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.150292,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.160449,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.170296,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.171431,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.180275,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.190333,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.196393,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.200327,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.210245,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.210840,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052413.220267,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.221362,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.230297,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.240324,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.245211,18FEDF00,1,8,7D,A0,28,7D,7D,FF,FF,F0
CAN2,1503052413.246327,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.250147,18FD7C00,1,8,F8,83,05,00,D3,1F,03,FF
CAN2,1503052413.250735,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.260295,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.270214,18FEF600,1,8,FF,73,FE,FF,FF,FF,FF,FF
CAN2,1503052413.270802,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.271385,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.280264,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.290316,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.296319,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.300348,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.310257,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.310852,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052413.320217,0CFD9200,1,8,F0,FF,FF,FF,FF,FF,FF,FF
CAN2,1503052413.320805,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.321388,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.340336,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.346340,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.350307,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.360368,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.370300,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.371364,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.380261,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.390360,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.390753,18EAFFFE,1,3,00,EE,00,00,00,00,00,00
CAN2,1503052413.391556,18EEFF02,1,8,BD,82,A4,12,00,85,00,00
CAN2,1503052413.396359,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.400315,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.410276,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.410871,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052413.420277,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.421318,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.430321,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.440347,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.446351,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.450396,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.460294,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.470299,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.471377,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.480296,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.490332,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.496339,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.500364,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.505360,18FEDF00,1,8,7D,A0,28,7D,7D,FF,FF,F0
CAN2,1503052413.510257,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.510855,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052413.520319,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.521350,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.530309,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.540355,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.546360,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.550320,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
